ActivityCode,ActivityName,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Minimum,Maximum,Instructor,ExpressIntrest,Contact,Skills,Competency,Topic
Leadership_SCP TPS & Safety (weekly),Supervisor Certification Program Weekly (TPS & Safety),ILT Content,1,,144000,,,,,,0,AGG.University@dummydata.com,,,Business & Leadership for API Developers
Leadership_AGGNA Leadership Workshop and Training,AGGNA Leadership Workshop and Training,ILT Content,1,en-us,,,Annual program created to help develop local leaders within AGGNA and requires team members to select projects they can continuously improve in their own department. The course is led by a AGGNA leader and is made up of several meetings over 6-8 months with a final presentation at the end.,,,,0,AGG.University@dummydata.com,,,Business & Leadership for Python Master
Leadership_TPS (AGGU),TPS I,ILT Content,0,en-us,,,,,,,0,,,,Engineering Lead
Leadership_TPS (vendor),TPS Basics for Management,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Site Reliability Engineers
Leadership_TWI Job Instruction - Refresher Course,TWI Job Instruction - 10 Hour (Refresher),ILT Content,1,,,,Refresh your memory on how to use the TWI Job Instruction method when teaching others how to do a job. This training is a refresher course for the 10-hour TWI Job Instruction certification which you obtained in the past.,,,,1,AGG.University@dummydata.com,,,Novice Developer to Pythonista
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,angelaadmin,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,ASK111041,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,jenadmin,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,KY004130,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,MT000080951,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,MT000110156,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,TX002096,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour,TWI Job Instruction 10-hour Certification,ILT Content,1,en-us,,," By obtaining this 10-hour certification, participants will be able to use the TWI method when teaching others how to do a job. TWI Institute (Training Within Industry) has determined the steps of the TWI Job Instruction method to be the best way of teaching someone how to do a job correctly, safely, and conscientiously.",,,tyleradmin,1,AGG.University@dummydata.com,,,Business & Leadership for Software Architects
Leadership_TWI Job Instruction 10-hour (SCP),TWI Job Instruction 10-hour Certification (SCP),ILT Content,1,en-us,36000,,TWI-JI 10-hr Cert completed during Supervisor Certification Program (SCP),,,,0,AGG.University@dummydata.com,,,Data Visualization
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,angelaadmin,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,jenadmin,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,KY004130,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,MT000080951,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,TX002096,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour,TWI Job Relations 10-hour Certification,ILT Content,1,en-us,,,,,,tyleradmin,0,,,,Productivity Tools for API Developers
Leadership_TWI Job Relations 10-hour (SCP),TWI Job Relations 10-hour Certification (SCP),ILT Content,1,en-us,36000,,TWI-JR 10-hr Cert completed during Supervisor Certification Program (SCP),,,,0,,,,AI Apprentice to AI Architect
Leadership_TWI_T3 Job Instruction Instructor (40-hr ),TWI Job Instruction - Instructor (40 Hour),ILT Content,1,en-us,,,40 hr. TWI Job Instruction Class. For Instructors,,,,0,,,,Productivity Tools with Serverless Deployments for Developers
Leadership_TWI_T3 Job Relations Instructor (40-hr. cert),TWI Job Relations - Instructor (40 Hour),ILT Content,1,en-us,,,,,,,0,,,,Managing & Leading through Unexpected Disruption
"Lean Manufacturing ""Simulation Workshop"" (vendor)",Lean Manufacturing Simulation Workshop,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Developer Fundamentals
Legal_FMLA for Management (AGG specifics),FMLA for Management (AGG specifics),ILT Content,1,en-us,,," Your, and your employees', rights and responsibilities under the Family Medical Leave Act (Recertification required only when updated) This training complies with AGGMO standards.",,,,0,,,,Productivity Tools for AI Architects
Motivating Others (MAC),Motivating Others Workshop,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Site Reliability Engineers
OLD_Compliance_Bloodborne Pathogens (ILT Course),OLD_Bloodborne Pathogens,ILT Content,0,en-us,3600,,"Dangers of bloodborne pathogens, common means of transmission, and the use of personal protective equipment; required for First Aid/CPR/AED Certification (1-year Recertification) This training complies with OSHA standard 1910.151.",,,,0,AGG.University@dummydata.com,,,Javanista to Java Master
Onboarding_Mentor Certification Training,Mentor Certification,ILT Content,1,,10800,," This course is designed for Team Members who want to mentor new AGG employees. Learn what the Mentor Program is all about, what your role and responsibilities will be, and obtain your certification as a designated Mentor.",,,,1,AGG.University@dummydata.com,,,Enriched Web Development with Angular 11
Onboarding_Mentoring Program,Mentoring Program,ILT Content,0,,,," This program is intended to give new hires a solid foundation as they adapt to their new positions. Participants will be required to complete 2 surveys: a 10-Day Touchback Survey and a 20-Day Touchback Survey. These surveys will be in their LMS and available for completion at 10 and 20 days, respectfully, from the day they are registered in the Mentoring Program.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Javanista to Java Master
PACTC (vendor),1000 hours Computer Maintenance,ILT Content,0,en-us,,,,,,,0,,,,Pythonista to Python Master
PACTC (vendor) Wiring,Residential Wiring,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Business Analyst to Data Analysts
Paint_Paint 101,Paint 101,ILT Content,0,en-us,,,,,,,0,,,,Security Essentials for Decision-makers and Leaders
PDM225 (vendor),PDM225 SOLIDWORKS PDM User Professional,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for CloudOps Engineers
PDM305 (vendor),PDM305 Solidworks PDM Administrator Professional,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Data Analysis with R
PerkinElmer (vendor),ICP-Optima Instrumentation with Syngistix Software,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Go Programming Essentials
Platts 4th Annual Scrap Seminar (vendor),Platts 4th Annual Scrap Seminar,ILT Content,0,en-us,,,,,,,0,,,,Software Product Management Proficiency
PLC (MAC),Programmable Logical Controllers Troubleshooting Class,ILT Content,0,en-us,,,,,,,0,,,,Programmer to API Developer
Poly_Leather Wrap Skills Table (AGGU),Leather Wrap Skills Table,ILT Content,0,en-us,,,,,,,0,,,,Agile for Software Development
Precision Sensing for High Tech Industries (vendor),Precision Sensing for High Tech Industries - BAL - LUFF,ILT Content,0,en-us,,,,,,,0,,,,Java Novice to Javanista
Price Risk Management (vendor),Price Risk Management in Steel Workshop,ILT Content,0,en-us,,,,,,,0,,,,Data Analysis with R
Problem Solving_QC Story,QC Story,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for AI and ML for Decision-makers
Problem Solving_Six Sigma GB (Process Stabilization),AGGU Six Sigma Green Belt Training,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Engineering Lead
Problem Solving_Six Sigma Greenbelt (Villanova),Six Sigma Green Belt (Villanova),ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership with Serverless Deployments for Developers
Process Optimization (vendor),Process Optimization Training,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Decision-makers and Leaders
Process Optimization Scientific Molding (vendor),Process Optimization Scientific Molding,ILT Content,0,en-us,,,,,,,0,,,,AI and ML for Decision-makers
QR code ILTcourse,QR code ILTcourse,ILT Content,1,,,,,,,,0,,,,Web App Vulnerability Analyst
Quality_Critical Parts-Quality Course (AGGNA),Critical Parts-Quality Course,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Pythonista
Quantity Verification for Ret (vendor),Quantity Verification for Ret,ILT Content,0,en-us,,,,,,,0,,,,Enterprise Development to DevOps Engineer
Record_A3 Training,A3 Training,ILT Content,1,,,,"A3 training, presented by Art Prather.",,,,0,,,,Business & Leadership for Software Product Management
Record_Employee Relations Training ILT,Employee Relations Training - Foundations HR,ILT Content,1,,,,Employee Relations Training at AGGNAI. Provided by Foundations HR.,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Journeyman Developers
Requirement_Certificate of AGG Auditor,Certificate of AGG Auditor,ILT Content,1,en-us,,,,,,,0,AGG.University@dummydata.com,,,Infrastructure Support Engineer to CloudOps Engineer
Requirement_ISO/TS 16949 Internal Quality Auditor,ISO/TS 16949 Internal Quality Auditor,ILT Content,1,,,,,,,,0,AGG.University@dummydata.com,,,Developer Fundamentals
Requirement_Lead Auditor Training with Supplier Auditor Certification,Lead Auditor Training with Supplier Auditor Certification,ILT Content,1,en-us,,,,,,,0,,,,Network Admin to Site Reliability Engineer
Requirement_Lead Auditor Validation,Lead Auditor Validation,ILT Content,1,en-us,,,,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Senior Software Project Managers
Requirement_LMS Coordinator Training,LMS Coordinator Training,ILT Content,1,,,,"This training will provide you with the information you need to administer the LMS for your AGG location (i.e. assess rosters, build profiles, check training reports, etc).",,,,0,AGG.University@dummydata.com,,,5G Technologies and Practices
Requirement_LMS Introduction for Managers_SP,LMS Introduction for Managers (AGGU will Assess),ILT Content,1,,1800,,"Hands-on LMS training, where Supervisors and Managers will learn how to use the LMS and automated reports to proactively manage training in their departments.",,,,0,AGG.University@dummydata.com,,,Web App Vulnerability Analyst - 2022 Update
Requirement_LMS Introduction_SP,LMS Introduction (AGGU will Assess),ILT Content,1,,1800,,"Hands-on LMS training, where employees will learn how to login to the LMS and complete compliance and other job-related trainings.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Programming Python in Action
Requirement_Maintenance Connection (For Technicians),Maintenance Connection (For Technicians),ILT Content,1,,3600,,"Contact Brian Robinson to schedule this training. The training will teach you how to properly create and complete work orders, and review and complete assignments (No Recertification Required). This training complies with AGG Missouri requirements.",,,,1,AGG.University@dummydata.com,,,Go Programming Essentials
Requirement_OJT Certification_AGGASK,OJT Trainer Certification (AGGASK),ILT Content,1,,,,Certifies team member to be an On-the-Job Trainer @ AGGASK,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Javanista
Requirement_OJT Certification_AGGMINTO,OJT Trainer Certification (AGGMINTO),ILT Content,1,,,,Certifies team member to be an On-the-Job Trainer @ AGGMINTO,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Software Architects
Requirement_OJT Certification_AGGTX,OJT Trainer Certification (AGGTX),ILT Content,1,,,,Certifies team member to be an On-the-Job Trainer,,,,0,AGG.University@dummydata.com,,,Productivity Tools for Data Visualization
Requirement_Process Owner Training for IATF,Process Owner Training for IATF,ILT Content,1,,3600,,Requirement for IATF.,,,,0,AGG.University@dummydata.com,,,Business & Leadership for AI Architects
"Requirement_Quality Engineer IATF Training for Control Plans, PFMEAs, & Critical Characteristics","Quality Engineer IATF Training for Control Plans, PFMEAs, & Critical Characteristics",ILT Content,1,,2700,,IATF Requirement.,,,,0,,,,Productivity Tools for 5G Technologies and Practices
Requirement_TL Daily Management AGGKY,T/L Daily Management Training (AGGKY),ILT Content,1,,,,For new & existing team leaders to learn the importance of following daily management sheets and preparing them to be successful production leaders.,,,,0,AGG.University@dummydata.com,,,Business & Leadership for Javanista
RWMA Resistance Welding School (vendor),RWMA Resistance Welding School,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Enriched Web Development with Angular 11
S4 Programming I (vendor),S4 Programming I,ILT Content,0,en-us,,,,,,,0,,,,Programming Python in Action
Safety_DOT Hazardous Material Employee Training (vendor),DOT Hazardous Material Employee Training,ILT Content,0,en-us,,,,,,,0,,,,Business Analyst to Data Analyst
Safety_Dupont Stop (AGG Safety Dept.),Dupont Stop,ILT Content,0,en-us,,,,,,,0,,,,Serverless Deployments for Developers
Safety_Emergency Planning & Comunity Right-to-Know (Trinity Consultants),Intro to Emergency Planning & Community Right-to-Know,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Web App Vulnerability Analyst
Safety_Kiken Yochi,Kiken Yochi (Contact the Safety Dept. to Schedule),ILT Content,1,en-us,2700,,,,,,0,,,,Developer to Software Architect
Safety_Kiken Yochi (SCP),Kiken Yochi (SCP),ILT Content,1,en-us,2700,,Kiken Yochi training obtained through the Supervisor Certification Program (SCP),,,,0,,,,Productivity Tools for Python Master
Safety_OSHA 10-hour Construction Industry,OSHA 10-hour Construction Industry,ILT Content,0,en-us,,,,,,,0,,,,Efficiency & Productivity in the New Normal
SkillsUSA (vendor),Electronics Applications / Technology Assessment,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Data Analysis with R
SkillsUSA (vendor) Computer Maintenance,Computer Maintenance Technology Proficiency Assessment,ILT Content,0,en-us,,,,,,,0,,,,Enterprise Development to Full Stack Developer
SRT_Certified Professional in Training Management,Certified Professional in Training Management,ILT Content,0,,,,"The Certified Professional in Training Management (CPTM™) program is the only credential focused specifically on the role of the training manager. As a CPTM, you will gain the skills needed to manage corporate training programs that align with your company’s goals – now and in the future. You will develop core competencies that will allow you to demonstrate your expertise in training management and impact change across the business.",,,,0,,,,Productivity Tools for Web App Vulnerability Analyst
Steel Markets North America Conference (vendor),12th Annual Steel Markets North America Conference,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools with Agile for Software Development
Subpart H - Training (vendor),49 CFR 172.700,ILT Content,0,en-us,,,Certification for safe transportation of dangerous goods by land (3-year Recertification),,,,0,,,,Software Project Analyst to Senior Software Project Manager
Succession Planning_Next Level Leadership,Next Level Leadership,ILT Content,1,en-us,,,"In order to grow, we must know our roots. At Next Level Leadership, we’ll begin by focusing on three proven assessments to solidify your team’s leadership foundation. These include a DiSC Workplace Profile, an Emotional Intelligence Profile, and a Productive Conflict Profile. From there, our goal is to enhance leadership knowledge and skillsets through our seven impactful topics.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Journeyman Developers
Succession Planning_OJT Training,On-the-Job Training (OJT) for Succession Planning,ILT Content,1,,,,"Acquire management skills on-the-job from your mentor or other qualified manager(s). Your mentor must submit confirmation to AGGU, stating that you have completed On-the-Job Training (OJT) for the purpose of succession planning. Once confirmation is received, AGGU will mark the activity complete in your succession plan.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for API Developers
Supplier Requirement_Lexus Dojo Training (AGGU),Lexus Dojo Training,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Python Master
SXSIG_GB_Exam_Prep_(MAC),Six Sigma Green Belt Training / Exam Prep (MAC),ILT Content,0,en-us,,,,,,,0,,,,Engineering Lead
TEC 1900 (College Transcript),Technical Mathematics I,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Site Reliability Engineers
Technical_Advanced PLCs (MAC),Advanced Programmable Logical Controllers,ILT Content,0,en-us,,,,,,,0,,,,Novice Developer to Pythonista
Technical_Basic PLC (MAC),Basic Programmable Logical Controllers (MAC),ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Software Architects
Technical_Basic PLC (Omron),Basic PLC Programing (Omron),ILT Content,0,en-us,,,,,,,0,,,,Data Visualization
Technical_Electrical Level 1 Lab (Ranken),Electrical Level 1 Lab for Amatrol (Ranken),ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for API Developers
Technical_Electrical Level 2 Lab (Ranken),Electrical Level 2 Lab for Amatrol (Ranken),ILT Content,0,en-us,,,,,,,0,,,,AI Apprentice to AI Architect
Technical_Fanuc Level I (Ranken),Fanuc Robotics Basic - Level I (Ranken),ILT Content,1,en-us,,, This training complies with AGG standards.,,,,0,,,,Productivity Tools with Serverless Deployments for Developers
Technical_Fanuc Level II (Ranken),Fanuc Robotics Intermediate - Level II (Ranken),ILT Content,1,en-us,,, This training complies with AGG standards.,,,,0,,,,Managing & Leading through Unexpected Disruption
Technical_Fanuc Level III (Ranken),Fanuc Robotics Advanced - Level III (Ranken),ILT Content,1,en-us,,, This training complies with AGG standards.,,,,0,,,,Business & Leadership for Developer Fundamentals
Technical_Intermediate PLC (Omron),Intermediate PLC Programming (Omron),ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for AI Architects
Technical_Mechanical Level 1 Lab (Ranken),Mechanical Level 1 Lab for Amatrol (Ranken),ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Site Reliability Engineers
Technical_Mechanical Level 2 Lab (Ranken),Mechanical Level 2 Lab for Amatrol (Ranken),ILT Content,1,en-us,,, This training complies with AGG standards.,,,,0,,,,Javanista to Java Master
Technical_Metallurgy of Die Casting Alloys (vendor),Metallurgy of Die Casting Alloys,ILT Content,0,en-us,,,,,,,0,,,,Enriched Web Development with Angular 11
Technical_Oxyacetylene Welding (vendor),Oxyacetylene Welding,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Javanista to Java Master
Technical_PQ2 (vendor),PQ2,ILT Content,0,en-us,,,,,,,0,,,,Pythonista to Python Master
Technical_Ranken IET Program,RANKEN IET Program,ILT Content,1,,,,Roster for Ranken IET Students.,,,,0,,,,Productivity Tools for Business Analyst to Data Analysts
Technician Type Universal (vendor),Technician Type Universal,ILT Content,0,en-us,,,,,,,0,,,,Security Essentials for Decision-makers and Leaders
TestCertificationExpiration,TestCertificationExpiration,ILT Content,1,en-us,1800,,"In this course, we will be looking at how the hoshin targets are cascaded down throughout the organization, starting from the Americas group hoshin down to individual team members. You will also become familiar with the top down approach to goal setting and how each level of the company contributes to goals.  This is a AGGNA requirement and it is an annual recertification for all salary employees.",,,,0,AGG.University@dummydata.com,,,Productivity Tools for CloudOps Engineers
AGG Activity,In-House Monozukuri - TPS,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Data Analysis with R
AGGNA_Legal Compliance Training (GM's & Above),Legal Compliance Training (GM's & Above),ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Go Programming Essentials
Time Management Workshop (MAC),Time Management Workshop,ILT Content,0,en-us,,,,,,,0,,,,Software Product Management Proficiency
Traceability in Manufacturing using RFID - BAL - L,Traceability in Manufacturing using RFID - BAL - LUFF,ILT Content,0,en-us,,,,,,,0,,,,Programmer to API Developer
Train the Trainer_Forklift Instructor,Forklift Instructor,ILT Content,1,en-us,,,Requirements and expectations of a Forklift Instructor (No Recertification) This training complies with OSHA standard 1910.178.,,,,0,,,,Agile for Software Development
Train the Trainer_Intro to AGG (Online) Facilitator Certification,Intro to AGG (Online) Facilitator Certification,ILT Content,1,en-us,,,Certification to facilitate Intro to AGG (Online) Orientation to new hires and conversion employees (No Recertification),,,,0,,,,Java Novice to Javanista
Train the Trainer_Intro to AGG Facilitator Certification,Intro to AGG Facilitator Certification,ILT Content,1,en-us,,,Certification to facilitate Intro to AGG Orientation to new hires and conversion employees (No Recertification),,,,0,,,,Data Analysis with R
Train the Trainer_Kiken Yochi Instructor,Kiken Yochi Instructor,ILT Content,1,en-us,,,,,,,0,,,,Business & Leadership for AI and ML for Decision-makers
Train the Trainer_Overhead Crane Instructor,Overhead Crane Instructor,ILT Content,1,en-us,,,Requirements and expectations of an Overhead Crane Instructor (No Recertification) This training complies with OSHA standard 1910.179.,,,,0,,,,Business & Leadership for Engineering Lead
Train the Trainer_Scissor & Boom Instructor,Scissor & Boom Instructor,ILT Content,1,en-us,,, Requirements and expectations of a Scissor & Boom Instructor (No Recertification) This training complies with OSHA standard OSHA 1910.67.,,,,0,,,,Business & Leadership with Serverless Deployments for Developers
Train the Trainer_TWI Job Instruction Instructor (40-hr cert.),TWI Job Instruction Instructor (40 Hour),ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Decision-makers and Leaders
Work Keys (vendor),Work Keys Profile,ILT Content,0,en-us,,,,,,,0,,,,AI and ML for Decision-makers
Working As A High Performance Team (MAC),Working As A High Performance Team,ILT Content,0,en-us,,,,,,,0,,,,Web App Vulnerability Analyst
Working Through Conflict (MAC),Working Through Conflict Workshop,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Pythonista
XRC Basic Programming using VRC (vendor),XRC Basic Programming using VRC,ILT Content,0,en-us,,,,,,,0,,,,Enterprise Development to DevOps Engineer
